Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed
2023-01-01,3.0077,3.3367,17.16,76.93,2.38
2023-01-02,3.2676,3.3418,17.21,76.45,2.59
2023-01-03,1.5967,3.6482,16.71,76.99,2.79
2023-01-04,1.1642,3.5674,15.45,77.22,3.06
2023-01-05,2.7022,3.5978,15.23,75.65,3.32
2023-01-06,2.6062,3.7978,15.1,72.13,3.56
2023-01-07,1.5994,4.1333,15.13,73.23,3.15
2023-01-08,3.3372,4.26,15.8,74.05,2.79
2023-01-09,4.2084,4.23,16.98,71.89,2.88
2023-01-10,4.261,4.2634,17.58,63.59,2.84
2023-01-11,3.8954,3.9125,16.21,62.86,2.6
2023-01-12,3.5167,3.9122,17.22,57.88,1.84
2023-01-13,3.5158,3.5558,18.82,56.77,1.36
2023-01-14,1.6404,2.6933,20.05,71.06,1.76
2023-01-15,3.1932,3.4954,19.53,68.58,2.24
2023-01-16,2.7626,3.0718,18.06,71.39,2.12
2023-01-17,2.951,3.3979,17.38,74.41,2.19
2023-01-18,2.9028,3.0806,16.68,71.13,2.33
2023-01-19,3.5983,3.6245,16.39,63.73,2.67
2023-01-20,3.8986,3.907,16.69,57.36,2.33
2023-01-21,3.9134,3.9384,18.33,55.2,1.8
2023-01-22,3.6163,3.6838,19.09,59.8,1.88
2023-01-23,3.0912,3.3223,20.14,66.29,1.85
2023-01-24,3.3617,3.4498,21.0,69.63,2.1
2023-01-25,3.2054,3.2952,21.78,62.95,1.6
2023-01-26,2.9726,2.9777,22.48,62.08,1.45
2023-01-27,3.713,3.7152,22.87,63.1,1.87
2023-01-28,3.9434,3.9655,22.1,64.65,2.42
2023-01-29,4.1822,4.2041,20.46,62.23,2.61
2023-01-30,4.4537,4.6303,21.77,57.87,1.93
2023-01-31,3.251,4.2353,22.29,53.89,2.1
2023-02-01,3.2206,4.2641,21.49,56.13,3.57
2023-02-02,4.5787,5.0088,19.38,50.09,3.41
