Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed,PlantA_E_solar,PlantB_E_solar,PlantA_E_biogas,PlantB_E_biogas
2023-01-01,3.0077,3.3367,17.16,76.93,2.38,4.653032208,23.26516104,5.62730925198817,22.530240740047766
2023-01-02,3.2676,3.3418,17.21,76.45,2.59,5.054127624,25.270638120000005,5.823420006945566,23.512299096116905
2023-01-03,1.5967,3.6482,16.71,76.99,2.79,2.474469858,12.372349290000002,5.732064756406345,23.787258827353952
2023-01-04,1.1642,3.5674,15.45,77.22,3.06,1.8130086599999997,9.065043300000001,5.178208491127238,22.68400949899492
2023-01-05,2.7022,3.5978,15.23,75.65,3.32,4.2117029640000005,21.05851482,6.165801134957556,22.938469415347345
2023-01-06,2.6062,3.7978,15.1,72.13,3.56,4.06410828,20.3205414,5.741925996738323,24.82074756615471
2023-01-07,1.5994,4.1333,15.13,73.23,3.15,2.493816468,12.46908234,5.329689029029414,22.67531829965012
2023-01-08,3.3372,4.26,15.8,74.05,2.79,5.19001344,25.9500672,5.802629565254349,21.641654696906237
2023-01-09,4.2084,4.23,16.98,71.89,2.88,6.515108208,32.575541040000005,5.985465911375682,24.772293473931875
2023-01-10,4.261,4.2634,17.58,63.59,2.84,6.58119972,32.9059986,6.854102929959735,23.197038749393826
2023-01-11,3.8954,3.9125,16.21,62.86,2.6,6.048543396,30.24271698,4.957773076286659,24.36956800181974
2023-01-12,3.5167,3.9122,17.22,57.88,1.84,5.439209556000001,27.19604778,5.656238457690262,23.50890843764911
2023-01-13,3.5158,3.5558,18.82,56.77,1.36,5.4040658640000006,27.020329320000002,4.946633328036272,21.996007235726132
2023-01-14,1.6404,2.6933,20.05,71.06,1.76,2.5093198800000005,12.546599400000002,5.013949759947025,23.48870156621162
2023-01-15,3.1932,3.4954,19.53,68.58,2.24,4.894600823999999,24.47300412,5.551027452534356,24.159743571855977
2023-01-16,2.7626,3.0718,18.06,71.39,2.12,4.258934664000001,21.294673319999998,6.04566603808925,23.778016532604042
2023-01-17,2.951,3.3979,17.38,74.41,2.19,4.56141972,22.807098600000003,6.053865323763797,25.99198888774354
2023-01-18,2.9028,3.0806,16.68,71.13,2.33,4.499107776000001,22.49553888,6.128154890751351,23.457384123295952
2023-01-19,3.5983,3.6245,16.39,63.73,2.67,5.583338178,27.916690890000005,4.906270697945642,21.57839605740421
2023-01-20,3.8986,3.907,16.69,57.36,2.33,6.042284196,30.21142098,6.748755617279693,21.41750973000855
2023-01-21,3.9134,3.9384,18.33,55.2,1.8,6.026714268000001,30.13357134,6.46453148452965,25.27518933095253
2023-01-22,3.6163,3.6838,19.09,59.8,1.88,5.552683998000001,27.76341999,6.273150338684032,23.32357239706327
2023-01-23,3.0912,3.3223,20.14,66.29,1.85,4.726939391999999,23.63469696,6.112162910463796,26.58755320960188
2023-01-24,3.3617,3.4498,21.0,69.63,2.1,5.1232308,25.616154,5.621806267130142,24.893511223854077
2023-01-25,3.2054,3.2952,21.78,62.95,1.6,4.870028327999999,24.35014164,5.525143589174987,24.871661981719253
2023-01-26,2.9726,2.9777,22.48,62.08,1.45,4.503845712,22.519228560000002,6.021343110551912,27.97698322728715
2023-01-27,3.713,3.7152,22.87,63.1,1.87,5.61695214,28.084760700000007,7.249141589244014,29.30246201333196
2023-01-28,3.9434,3.9655,22.1,64.65,2.42,5.98371516,29.9185758,6.45437870127679,26.076295803048087
2023-01-29,4.1822,4.2041,20.46,62.23,2.61,6.387223128,31.93611564,6.178795825636861,27.63033346836182
2023-01-30,4.4537,4.6303,21.77,57.87,1.93,6.766862706,33.83431353,6.719552935009058,26.48857846198726
2023-01-31,3.251,4.2353,22.29,53.89,2.1,4.92936126,24.646806299999998,7.17884447757155,29.283855189306312
2023-02-01,3.2206,4.2641,21.49,56.13,3.57,4.898725836,24.493629180000003,6.693581074447481,26.846404628059634
2023-02-02,4.5787,5.0088,19.38,50.09,3.41,7.022443764000001,35.11221882000001,7.242611895801896,25.712289813790576
2023-02-03,4.853,4.8593,18.89,50.06,3.06,7.45741098,37.2870549,6.662134377944032,27.01525193322488
2023-02-04,4.1854,4.2415,19.24,47.5,2.69,6.422747423999999,32.113737119999996,7.556800439767222,29.38422861460068
2023-02-05,4.2437,4.2545,20.73,44.03,2.02,6.474273593999999,32.371367969999994,6.3568400325536025,26.519254118633906
2023-02-06,4.4146,4.4254,21.69,41.62,1.96,6.709573956,33.54786977999999,7.125592297777361,30.17676198833204
2023-02-07,4.1834,4.5744,21.94,54.76,2.61,6.3519072240000005,31.759536119999996,6.537811298720685,28.699375270575704
2023-02-08,3.8302,4.4892,22.87,59.08,2.99,5.794249956000001,28.971249780000004,7.694157210641766,31.088346862385418
2023-02-09,3.6449,4.0553,22.52,50.34,1.84,5.521586112,27.607930559999996,8.032372061807171,30.470138111588728
2023-02-10,4.7486,4.7866,22.27,42.6,1.94,7.200682068,36.00341034,7.299273228393793,28.901442922720484
2023-02-11,4.3358,4.7256,23.19,53.8,2.68,6.550786788,32.753933939999996,8.043874473708605,29.212338104980436
2023-02-12,4.3126,4.8559,23.69,56.83,3.02,6.502797035999999,32.51398517999999,7.338484035226685,32.40691619756855
